Date,ABS,ABS (All),Turbidity,Turb (All),Total SSC,SSC (All),Fines,Sands
1/1/2017,NaN,0.8,NaN,2.62,NaN,2,NaN,NaN
1/2/2017,NaN,1.7,NaN,2.91,NaN,4,NaN,NaN
1/3/2017,NaN,3.9,NaN,2.81,NaN,4,NaN,NaN
1/4/2017,NaN,0.8,NaN,2.62,NaN,4,NaN,NaN
1/5/2017,NaN,0.7,NaN,2.44,NaN,5,NaN,NaN
1/6/2017,NaN,1.8,NaN,2.34,NaN,4,NaN,NaN
1/8/2017,NaN,0.7,NaN,1.78,NaN,10,NaN,NaN
1/9/2017,NaN,2.1,NaN,4.5,NaN,5,NaN,NaN
1/10/2017,NaN,2,NaN,2.25,NaN,4,NaN,NaN
1/11/2017,NaN,2,NaN,3.56,NaN,9,NaN,NaN
1/11/2017,NaN,1.6,NaN,2.34,NaN,4,NaN,NaN
1/12/2017,NaN,2.3,NaN,2.81,NaN,7,NaN,NaN
1/13/2017,NaN,0.9,NaN,2.06,NaN,5,NaN,NaN
1/14/2017,NaN,1,NaN,2.15,NaN,7,NaN,NaN
1/15/2017,NaN,2.4,NaN,2.81,NaN,7,NaN,NaN
1/16/2017,NaN,1,NaN,2.25,NaN,5,NaN,NaN
1/17/2017,NaN,18.8,NaN,8.8,NaN,15,NaN,NaN
1/18/2017,NaN,266,NaN,174,NaN,363,NaN,NaN
1/19/2017,NaN,59.2,NaN,112,NaN,197,NaN,NaN
1/20/2017,NaN,28.7,NaN,50.9,NaN,87,NaN,NaN
1/21/2017,NaN,38.9,NaN,33.4,NaN,69,NaN,NaN
1/22/2017,NaN,9.2,NaN,17.4,NaN,27,NaN,NaN
1/23/2017,NaN,7.3,NaN,12.7,NaN,17,NaN,NaN
1/24/2017,NaN,77.3,NaN,9.44,NaN,12,NaN,NaN
1/25/2017,NaN,8.9,NaN,7.11,NaN,8,NaN,NaN
1/26/2017,NaN,2.2,NaN,6.08,NaN,6,NaN,NaN
1/27/2017,NaN,2.6,NaN,5.51,NaN,6,NaN,NaN
1/28/2017,NaN,2.2,NaN,5.14,NaN,7,NaN,NaN
1/29/2017,NaN,1.2,NaN,4.86,NaN,7,NaN,NaN
1/30/2017,NaN,1.9,NaN,4.58,NaN,5,NaN,NaN
1/31/2017,NaN,3.2,NaN,5.05,NaN,10,NaN,NaN
2/1/2017,NaN,2.7,NaN,4.48,NaN,8,NaN,NaN
2/2/2017,NaN,2.4,NaN,4.02,NaN,10,NaN,NaN
2/2/2017,NaN,2.5,NaN,4.39,NaN,8,NaN,NaN
2/3/2017,NaN,2.9,NaN,4.11,NaN,7,NaN,NaN
2/4/2017,NaN,3.4,NaN,5.32,NaN,9,NaN,NaN
2/5/2017,NaN,3.1,NaN,6.63,NaN,8,NaN,NaN
2/6/2017,NaN,1.7,NaN,3.92,NaN,5,NaN,NaN
2/7/2017,NaN,2.9,NaN,3.64,NaN,4,NaN,NaN
2/8/2017,NaN,0.8,NaN,3.45,NaN,5,NaN,NaN
2/9/2017,NaN,249,NaN,154,NaN,383,NaN,NaN
2/10/2017,NaN,45.7,NaN,83.2,NaN,136,NaN,NaN
2/11/2017,NaN,21.6,NaN,36.7,NaN,64,NaN,NaN
2/12/2017,NaN,12.1,NaN,19.4,NaN,33,NaN,NaN
2/13/2017,NaN,20.2,NaN,11.5,NaN,16,NaN,NaN
2/14/2017,NaN,2.8,NaN,8.86,NaN,11,NaN,NaN
2/15/2017,NaN,147,NaN,136,NaN,284,NaN,NaN
2/15/2017,NaN,147,NaN,136,NaN,352,NaN,NaN
2/15/2017,NaN,114,NaN,139,NaN,235,NaN,NaN
1/18/2018,NaN,31,NaN,85.4,NaN,102,NaN,NaN
1/18/2018,NaN,28.8,NaN,80,NaN,101,NaN,NaN
1/19/2018,13.9,13.9,46.5,46.5,70,70,59.5,10.5
1/20/2018,10.6,10.6,31.5,31.5,42,42,34.9,7.14
1/21/2018,22.2,22.2,62.7,62.7,84,84,71.4,12.6
1/22/2018,12.4,12.4,42.2,42.2,62,62,52.7,9.3
1/23/2018,5.3,5.3,25,25,80,80,68.8,11.2
1/24/2018,30.5,30.5,61,61,98,98,88.2,9.8
1/25/2018,10.8,10.8,33.7,33.7,43,43,38.3,4.73
1/26/2018,3.8,3.8,24,24,42,42,35.3,6.72
1/27/2018,4.1,4.1,19.8,19.8,21,21,17,3.99
1/28/2018,3.3,3.3,14.9,14.9,25,25,20.3,4.75
1/29/2018,98.2,98.2,141,141,182,182,160,21.8
1/30/2018,147,147,255,255,330,330,281,49.5
1/31/2018,47,47,125,125,173,173,138,34.6
2/1/2018,17.5,17.5,75.6,75.6,93,93,75.3,17.7
2/2/2018,30.6,30.6,87.1,87.1,99,99,87.1,11.9
2/3/2018,16.7,16.7,63.9,63.9,86,86,76.5,9.46
2/4/2018,49.4,49.4,108,108,138,138,113,24.8
2/5/2018,24.8,24.8,74.5,74.5,94,94,79.9,14.1
2/6/2018,11.9,11.9,47.2,47.2,53,53,46.6,6.36
2/7/2018,17.9,17.9,45.2,45.2,50,50,43,7
2/8/2018,11.6,11.6,36.2,36.2,44,44,37,7.04
2/9/2018,9.3,9.3,30.2,30.2,33,33,29.4,3.63
