Date,Depth,ABS,Turbidity,Total SSC,Percent Finer,Fines,Sands
5/23/2017,1.65,11,42.4,61,95,58,3.05
5/23/2017,3.29,12.3,42.8,61,96,58.6,2.44
5/23/2017,4.94,13.5,42.9,62,94,58.3,3.72
5/23/2017,6.58,15.5,43.1,62,93,57.7,4.34
5/23/2017,7.41,22.2,43.3,66,87,57.4,8.58
5/23/2017,2.07,12.1,45.7,63,93,58.6,4.41
5/23/2017,4.15,14.7,46.3,63,94,59.2,3.78
5/23/2017,6.22,16,46.8,65,91,59.2,5.85
5/23/2017,8.29,24.1,46.7,81,75,60.8,20.3
5/23/2017,9.33,27.6,46.4,84,71,59.6,24.4
5/23/2017,1.95,12.8,48.9,65,95,61.8,3.25
5/23/2017,3.9,12.3,48.4,70,94,65.8,4.2
5/23/2017,5.85,16,48.6,69,94,64.9,4.14
5/23/2017,7.8,24.9,48.7,88,71,62.5,25.5
5/23/2017,8.78,46.5,49.1,98,62,60.8,37.2
5/23/2017,1.77,11.7,50,67,99,66.3,0.67
5/23/2017,3.54,12.5,50.4,69,97,66.9,2.07
5/23/2017,5.3,11.6,50.1,70,95,66.5,3.5
5/23/2017,7.07,12.3,49.9,67,92,61.6,5.36
5/23/2017,7.96,15.2,50.3,75,85,63.8,11.3
5/23/2017,1.37,11.9,51.8,73,94,68.6,4.38
5/23/2017,2.74,11.2,51.6,69,99,68.3,0.69
5/23/2017,4.11,11.8,51.9,70,97,67.9,2.1
5/23/2017,5.49,11.3,52.2,72,97,69.8,2.16
5/23/2017,6.19,11.9,51.9,71,95,67.5,3.55
