Date,Depth,ABS,Turbidity,Total SSC,Percent Finer,Fines,Sands
5/25/2017,1.52,286,161,641,78,500,141
5/25/2017,3.08,281,162,610,81,494,116
5/25/2017,4.6,316,163,652,77,502,150
5/25/2017,6.16,418,165,764,67,512,252
5/25/2017,6.92,387,164,782,62,485,297
5/25/2017,1.43,393,170,805,63,507,298
5/25/2017,2.87,579,174,855,59,504,351
5/25/2017,4.3,552,174,1000,50,500,500
5/25/2017,5.73,778,179,1140,44,502,638
5/25/2017,6.46,952,186,1800,29,522,1278
5/25/2017,1.25,397,169,759,68,516,243
5/25/2017,2.53,508,173,796,65,517,279
5/25/2017,3.78,655,178,866,59,511,355
5/25/2017,5.06,674,180,1260,42,529,731
5/25/2017,5.67,729,179,1240,43,533,707
5/25/2017,1.25,360,171,644,80,515,129
5/25/2017,2.5,453,173,695,75,521,174
5/25/2017,3.75,464,172,788,66,520,268
5/25/2017,5,533,176,894,59,527,367
5/25/2017,5.64,761,183,919,57,524,395
5/25/2017,1.43,252,168,569,90,512,56.9
5/25/2017,2.83,256,168,574,91,522,51.7
5/25/2017,4.27,334,171,552,93,513,38.6
5/25/2017,5.67,271,169,559,91,509,50.3
5/25/2017,6.4,308,172,568,89,506,62.5
