Date,Depth,ABS,Turbidity,Total SSC,Percent Finer,Fines,Sands
5/3/2017,1.52,31.6,29.3,42,85,35.7,6.3
5/3/2017,2.75,26.3,29.4,51,83,42.3,8.67
5/3/2017,4.15,28.6,30,43,81,34.8,8.17
5/3/2017,1.85,55.7,25.6,56,78,43.7,12.3
5/3/2017,3.71,46.6,26.6,61,77,47,14
5/3/2017,4.93,37.7,26.9,58,78,45.2,12.8
5/3/2017,6.8,36.7,27.2,53,83,44,9.01
5/3/2017,1.59,33.4,26.8,61,76,46.4,14.6
5/3/2017,3.13,35.3,27.7,71,65,46.2,24.9
5/3/2017,4.75,42.2,27.8,66,71,46.9,19.1
5/3/2017,6.33,47,28,101,48,48.5,52.5
5/3/2017,6.87,47.4,28.1,129,38,49,80
5/3/2017,1.29,30.1,26.7,59,70,41.3,17.7
5/3/2017,3.03,37.3,27.2,65,70,45.5,19.5
5/3/2017,4.42,37.5,27.2,86,56,48.2,37.8
5/3/2017,6.1,43,27.7,107,43,46,61
5/3/2017,7.27,58.5,28.2,140,36,50.4,89.6
5/3/2017,1.44,29.2,27.4,57,83,47.3,9.69
5/3/2017,3.01,34.8,27.4,69,68,46.9,22.1
5/3/2017,4.3,44.3,28,91,54,49.1,41.9
5/3/2017,6.13,46.6,27.9,100,45,45,55
5/3/2017,6.75,62.1,28.9,114,42,47.9,66.1
